Question,Answer
How can I reset my password?,Click on Forgot Password and follow the instructions.
How do I contact support?,You can contact support via email or phone.
What payment methods are accepted?,We accept UPI debit cards and credit cards.
How can I track my order?,Go to My Orders and enter your order ID.
Can I cancel my order?,Yes before shipment.
What is the refund policy?,Refunds are processed within 5-7 business days.
How long does delivery take?,Delivery usually takes 3-5 business days.
How can I change my account details?,Go to Profile Settings and update your information.
Do you offer cash on delivery?,Yes cash on delivery is available for selected locations.
How can I update my email address?,Go to Account Settings and update your email.
